id,num_orders
1028232,122.78166666666668
1262649,178.91
1453211,130.0066666666667
1262599,93.835
1495848,82.58
1342607,178.91
1358429,178.91
1475006,82.58
1009709,122.78166666666668
1460444,1528.0575
1476535,847.0477261904763
1297121,559.97525
1141103,1002.2211428571428
1274933,1039.071642857143
1435122,988.5561428571428
1486477,1039.071642857143
1195364,847.0477261904763
1301491,559.97525
1059056,1039.071642857143
1098228,822.3085000000001
1080847,825.8935
1064602,898.4793333333334
1093227,898.4793333333334
1177861,582.3766666666667
1259611,582.3766666666667
1274836,999.8793333333335
1030333,936.1985000000002
1249982,936.1985000000002
1188591,936.1985000000002
1316160,687.3316666666667
1419545,687.3316666666667
1062437,687.3316666666667
1181575,815.8717499999999
1143023,335.46166666666664
1278339,687.3316666666667
1282203,687.3316666666667
1080746,687.3316666666667
1296937,687.3316666666667
1210564,687.3316666666667
1390579,280.84
1436947,288.83208333333334
1045739,256.74441666666667
1318087,258.72991666666667
1223698,278.11083333333335
1436625,258.72991666666667
1383644,175.6625
1045356,159.06
1121593,276.32983333333334
1114635,288.83208333333334
1332667,1232.1554166666667
1039351,936.8704166666669
1319273,973.2170833333334
1305518,973.2170833333334
1327143,936.8704166666669
1272171,1171.92
1223757,816.63
1090089,816.63
1128850,1171.92
1446344,973.2170833333334
1237947,682.1825
1452835,682.1825
1029462,668.9225
1365321,669.8341666666665
1377892,714.27
1378346,714.27
1261333,682.1825
1427333,682.1825
1157382,682.1825
1168967,682.1825
1306954,1615.3983333333335
1342909,722.835
1244760,1615.1983333333335
1431361,611.8
1276681,1615.3983333333335
1148958,1615.1983333333335
1184174,722.835
1323560,722.835
1066229,1615.1983333333335
1025558,722.835
1083889,319.2529166666667
1378453,266.8685833333334
1434331,335.48875
1311554,319.2529166666667
1111904,280.3644642857143
1430955,225.0959166666667
1455829,280.3644642857143
1182896,266.8685833333334
1205862,165.36249999999995
1215917,263.11233333333337
1409427,196.16
1100468,146.495
1411863,115.805
1010693,222.715
1004925,115.31
1265382,115.31
1239027,115.31
1462013,237.145
1464784,196.16
1440692,175.495
1268331,232.485
1030648,310.7
1033468,364.155
1452010,364.155
1164883,247.485
1265395,344.285
1214244,370.075
1307226,277.35
1425834,387.99333333333334
1105463,233.7
1245977,111.7175
1352817,150.7625
1245183,440.6075
1490092,399.475
1278462,424.8675
1090267,422.3075
1231613,438.5325
1164334,420.9675
1300150,437.9075
1231259,424.8675
1243020,435.0795
1433764,435.0795
